code_absent;intitule_activite;metiers_concernes;code_probable_apres_MAJ;intitule_correspondant
K.02.08.01;Conception et pilotage de projets de valorisation de la donnée client;O103;K.02.08.1;Conception et pilotage de projets de valorisation de la donnée client
K.02.16.03;Suivi des résultats;J105;K.02.16.3;Suivi des résultats
K.02.12.01;Mise en œuvre des procédures administratives et Qualité Hygiène Sécurité Environnement (QHSE);J105;K.02.12.1;Mise en œuvre des procédures administratives et Qualité Hygiène Sécurité Environnement (QHSE)
J.04.03.01;Animation des formations techniques et technico-commerciales;M108;J.04.03.1;Animation des formations techniques et technico-commerciales
I.03.02.01;Veille et analyse des besoins en formation;M108;I.03.02.1;Veille et analyse des besoins en formation
J.04.04.01;Construction et animation d’un parcours de formation en situation de travail;M108;J.04.04.1;Construction et animation d’un parcours de formation en situation de travail
J.03.01.01;Mise en œuvre de la stratégie de marketing digital;B125;J.03.01.1;Mise en œuvre de la stratégie de marketing digital
K.02.03.02;Sélection et suivi des prestataires marketing / communication;B125;K.02.03.2;Sélection et suivi des prestataires marketing / communication
I.01.05.01;Analyse du secteur / du périmètre de l’unité commerciale;M127;I.01.05.1;Analyse du secteur / du périmètre de l’unité commerciale
K.2.15.03;Pilotage de l’activité commerciale de l’unité (responsable d’unité commerciale);M127;;
E.2.01.01;Gestion des stocks et des matériels de l’unité commerciale;M127;E.02.01.01;Gestion des stocks et des matériels de l’unité commerciale
I.02.01.01;Analyse de l’environnement commercial dans le cadre d’une activité de vente itinérante;M128;I.01.01.1;Analyse de l’environnement commercial dans le cadre d’une activité de vente itinérante
I.01.02.01;Analyse du marché et du portefeuille de clients grands comptes;M129;I.01.02.1;Analyse du marché et du portefeuille de clients grands comptes
B.025.32.01;Amélioration des outils et méthodes de Pricing et d’aide à la décision et de prédiction dans le domaine du transport aérien;B131;B.02.32.01;Amélioration des outils et méthodes de Pricing et d’aide à la décision et de prédiction dans le domaine du transport aérien
D.01.14..01;Fabrication et assemblage de structures d’aéronefs;J175;D.01.14.01;Fabrication et assemblage de structures d’aéronefs
I.01.03.04;Gestion administrative et réglementaire de son entreprise de pêche;C245;L.01.03.04;Gestion administrative et réglementaire de son entreprise de pêche
C.01.04.04;Organisation de sa propre activité;P252;C.01.04.02;Organisation de sa propre activité
L.01.02.05;Elaboration des déclarations administratives obligatoires;P252;L.01.03.05;Elaboration des déclarations administratives obligatoires
K.02.14.02;Planification du plan d’approvisionnement;L261;K.02.14.2;Planification du plan d’approvisionnement
K.02.21.01;Supervision des activités de la supply chain;F266;K.02.21.1;Supervision des activités de la supply chain
C.01.04.05;Organisation de son activité budgétaire et technique;P290;C01.04.05;Organisation de son activité budgétaire et technique
I.03.27.03;Veille technologique et règlementaire sur les sujets en lien avec le stockage et la gestion de données;O293;I.03.27.01;Veille technologique et règlementaire sur les sujets en lien avec le stockage et la gestion de données
I.3.01.01;Veille juridique, règlementaire et sociale sur les sujets en lien avec les ressources humaines;P300;;
D.01.05.04;Alimentation, abreuvage et soins aux animaux au sein des espaces de stabulation;D309;D.05.01.04;Alimentation, abreuvage et soins aux animaux au sein des espaces de stabulation
k.02.20.04;Organisation et supervision de l’activité de production et de transformation des viandes;D315;K.02.20.04;Organisation et supervision de l’activité de production et de transformation des viandes
D.01.12.02;Réalisation des opérations de maintenance préventive et curative sur les composants ou sous-ensembles des équipements et installations automatisés et robotisés;J317;D.03.11.01;Réalisation des opérations de maintenance préventive et curative sur les composants ou sous-ensembles des équipements et installations automatisés et robotisés
J.04.06.02;Animation d’actions de sensibilisation ou de prévention des collaborateurs à l’hygiène, la sûreté, la sécurité et l’environnement;K325;J.04.06.1;Animation d’actions de sensibilisation ou de prévention des collaborateurs à l’hygiène, la sûreté, la sécurité et l’environnement
I.01.03.02;Elaboration d’actions d’amélioration de l’activité achats;L326;B.02.01.03;Elaboration d’actions d’amélioration de l’activité achats
