section;code_metier;intitule_metier;formacode;libelle;constat;detail
2-presence_partielle;J318;Responsable de maintenance;31058;Informatique industrielle;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;J318;Responsable de maintenance;11454;Physique;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;F319;Agent(e) logistique;21572;Reglementation hygiene agroalimentaire;fiche metier seulement;niveau 1 — a ajouter dans Outil_collecte
2-presence_partielle;F321;Technicien(ne) ordonnancement;31662;Ordonnancement;fiche metier seulement;niveau 3 — a ajouter dans Outil_collecte
2-presence_partielle;F321;Technicien(ne) ordonnancement;15254;Langues;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;F321;Technicien(ne) ordonnancement;31652;Gestion production;Outil_collecte seulement;couple(s) 1 — absent de la fiche
2-presence_partielle;F321;Technicien(ne) ordonnancement;21577;Viande;Outil_collecte seulement;couple(s) 1 — absent de la fiche
2-presence_partielle;F322;Responsable logistique;13254;Droit;fiche metier seulement;niveau 1 — a ajouter dans Outil_collecte
2-presence_partielle;F322;Responsable logistique;11054;Mathematiques;fiche metier seulement;niveau 1 — a ajouter dans Outil_collecte
2-presence_partielle;F322;Responsable logistique;13154;Economie;fiche metier seulement;niveau 1 — a ajouter dans Outil_collecte
2-presence_partielle;F322;Responsable logistique;31721;Entreposage stockage;Outil_collecte seulement;couple(s) 2,3 — absent de la fiche
2-presence_partielle;F322;Responsable logistique;31743;Expedition;Outil_collecte seulement;couple(s) 2,3 — absent de la fiche
2-presence_partielle;K324;Opérateur(rice) en nettoyage industriel;23684;Entretien mécanique;fiche metier seulement;niveau 1 — a ajouter dans Outil_collecte
2-presence_partielle;K324;Opérateur(rice) en nettoyage industriel;31624;Maintenance industrielle;fiche metier seulement;niveau 1 — a ajouter dans Outil_collecte
2-presence_partielle;K325;Animateur(trice) QHSSE;34085;Stratégie commerciale;fiche metier seulement;niveau 3 — a ajouter dans Outil_collecte
2-presence_partielle;F328;Conducteur(rice) livreur(se);21547;Bonnes pratiques hygiene agroalimentaire;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;K330;Animateur(trice) prévention sécurité;15254;Langues;fiche metier seulement;niveau 1 — a ajouter dans Outil_collecte
2-presence_partielle;K330;Animateur(trice) prévention sécurité;15234;;Outil_collecte seulement;couple(s) 1 — absent de la fiche
2-presence_partielle;K331;Responsable QHSSE;31454;Gestion qualite;fiche metier seulement;niveau 3 — a ajouter dans Outil_collecte
2-presence_partielle;K331;Responsable QHSSE;12054;Sciences naturelles;fiche metier seulement;niveau 2 — a ajouter dans Outil_collecte
2-presence_partielle;K331;Responsable QHSSE;21577;Viande;Outil_collecte seulement;couple(s) 3 — absent de la fiche
